product1,product2,correlation
P1000,P1001,-0.005267098750352381
P1000,P1002,-0.01186614541153215
P1000,P1004,-0.009156986997206755
P1000,P1005,-0.011866145411532159
P1000,P1006,-0.016041633942880797
P1000,P1007,-0.014093496325247654
P1000,P1008,-0.01604163394288079
P1000,P1009,-0.007462686567164206
P1000,P1010,-0.007462686567164205
P1000,P1011,-0.010593434317257492
P1000,P1012,-0.009156986997206736
P1000,P1013,-0.009156986997206722
P1000,P1015,-0.009156986997206736
P1000,P1016,-0.010593434317257493
P1000,P1017,-0.010593434317257483
P1000,P1018,-0.013023306526765595
P1000,P1019,-0.013023306526765593
P1000,P1020,-0.010593434317257481
P1000,P1021,-0.010593434317257478
P1000,P1023,-0.014093496325247661
P1000,P1024,-0.017803035644016148
P1000,P1025,-0.007462686567164206
P1000,P1026,-0.017803035644016144
P1000,P1027,-0.010593434317257476
P1000,P1028,-0.007462686567164206
P1000,P1029,-0.016941853689292394
P1000,P1030,-0.005267098750352373
P1000,P1031,-0.016041633942880797
P1000,P1032,-0.014093496325247642
P1000,P1033,-0.010593434317257493
P1000,P1034,
P1000,P1035,-0.02020187297360793
P1000,P1036,-0.007462686567164203
P1000,P1039,-0.009156986997206728
P1000,P1040,-0.0074626865671642
P1000,P1041,-0.014093496325247645
P1000,P1043,-0.014093496325247664
P1000,P1044,-0.014093496325247692
P1000,P1045,-0.009156986997206738
P1000,P1046,-0.015095306957036389
P1000,P1048,-0.0074626865671642
P1000,P1049,-0.009156986997206747
P1000,P1050,-0.007462686567164201
P1000,P1052,
P1000,P1053,-0.010593434317257476
P1000,P1054,-0.018630665602665266
P1000,P1055,-0.011866145411532157
P1000,P1056,-0.010593434317257478
P1000,P1057,-0.014093496325247623
P1000,P1058,-0.015095306957036389
P1000,P1059,-0.016041633942880773
P1000,P1061,-0.010593434317257483
P1000,P1062,-0.02095188685475285
P1000,P1063,-0.01863066560266526
P1000,P1064,-0.011246608955715637
P1000,P1065,-0.01694185368929236
P1000,P1066,-0.007462686567164194
P1000,P1069,
P1000,P1072,-0.014093496325247661
P1000,P1073,0.2577096470902423
P1000,P1074,-0.011866145411532171
P1000,P1075,-0.011866145411532136
P1000,P1077,-0.014093496325247645
P1000,P1078,-0.015095306957036422
P1000,P1079,-0.016041633942880787
P1000,P1080,-0.01186614541153214
P1000,P1081,-0.016041633942880766
P1000,P1082,-0.010593434317257486
P1000,P1083,-0.009156986997206724
P1000,P1084,-0.01604163394288078
P1000,P1085,-0.017803035644016137
P1000,P1087,-0.007462686567164198
P1000,P1088,-0.013023306526765595
P1000,P1090,-0.016041633942880783
P1000,P1091,-0.010593434317257488
P1000,P1092,-0.016941853689292397
P1000,P1093,-0.015095306957036394
P1000,P1094,0.34693497389018163
P1000,P1096,-0.015095306957036392
P1000,P1098,-0.01059343431725748
P1000,P1100,-0.020201872973607968
P1000,P1102,-0.013023306526765576
P1000,P1103,-0.01302330652676559
P1000,P1104,-0.005267098750352368
P1000,P1105,-0.007462686567164198
P1000,P1107,-0.014093496325247642
P1000,P1108,-0.013023306526765581
P1000,P1109,-0.007462686567164203
P1000,P1110,-0.010593434317257481
P1000,P1111,-0.0074626865671642
P1000,P1112,-0.015095306957036406
P1000,P1113,-0.009156986997206748
P1000,P1114,-0.010593434317257481
P1000,P1115,-0.010593434317257492
P1000,P1116,0.49626865671641784
P1000,P1117,-0.015095306957036392
P1000,P1118,-0.014093496325247656
P1000,P1120,-0.015095306957036404
P1000,P1121,-0.009156986997206757
P1000,P1122,-0.016041633942880773
P1000,P1126,-0.01186614541153218
P1000,P1127,-0.017803035644016137
P1000,P1128,-0.009156986997206741
P1000,P1129,-0.009156986997206726
P1000,P1131,-0.009156986997206759
P1000,P1133,-0.010593434317257481
P1000,P1134,-0.00526709875035238
P1000,P1135,-0.014093496325247675
P1000,P1137,-0.014093496325247673
P1000,P1138,-0.011866145411532159
P1000,P1139,-0.01942910142020548
P1000,P1141,-0.007462686567164202
P1000,P1142,-0.009156986997206731
P1000,P1143,-0.010593434317257483
P1000,P1146,-0.015095306957036397
P1000,P1148,-0.015095306957036389
P1000,P1150,-0.01059343431725749
P1000,P1154,-0.007462686567164198
P1000,P1156,-0.022392975292659857
P1000,P1157,-0.007462686567164202
P1000,P1158,-0.013023306526765591
P1000,P1159,-0.00915698699720675
P1000,P1160,0.3469349738901814
P1000,P1161,-0.014093496325247654
P1000,P1162,-0.016041633942880787
P1000,P1164,-0.015095306957036406
P1000,P1165,-0.013023306526765557
P1000,P1166,-0.011866145411532131
P1000,P1167,-0.015095306957036403
P1000,P1168,-0.010593434317257493
P1000,P1169,-0.010593434317257478
P1000,P1170,-0.0250875109259494
P1000,P1171,-0.00915698699720675
P1000,P1172,-0.013023306526765574
P1000,P1173,-0.015095306957036383
P1000,P1175,-0.005267098750352369
P1000,P1176,-0.01604163394288077
P1000,P1177,-0.010593434317257476
P1000,P1179,-0.0178030356440161
P1000,P1181,-0.011866145411532162
P1000,P1183,-0.014093496325247647
P1000,P1184,-0.014093496325247652
P1000,P1185,-0.007462686567164205
P1000,P1186,-0.011866145411532176
P1000,P1187,-0.009156986997206733
P1000,P1189,-0.010593434317257476
P1000,P1191,-0.010593434317257476
P1000,P1192,
P1000,P1195,-0.010593434317257473
P1000,P1196,-0.005267098750352373
P1000,P1199,-0.010593434317257483
P1000,P1200,-0.014093496325247668
P1000,P1202,-0.015095306957036399
