store_id,product_id,stock_level
S001,P1151,0
S001,P1218,0
S001,P1157,2
S001,P1105,3
S001,P1179,3
S001,P1348,3
S001,P1120,4
S001,P1123,4
S001,P1158,4
S001,P1211,5
S001,P1021,6
S001,P1091,6
S001,P1071,7
S001,P1287,7
S001,P1217,8
S001,P1271,8
S001,P1150,9
S001,P1176,9
S001,P1200,9
S001,P1296,9
S001,P1051,10
S001,P1195,10
S001,P1291,11
S001,P1018,12
S001,P1108,12
S001,P1330,13
S001,P1117,14
S001,P1232,14
S001,P1240,14
S001,P1096,15
S001,P1352,17
S001,P1269,18
S001,P1125,19
S001,P1081,21
S001,P1278,21
S001,P1187,22
S001,P1315,22
S001,P1276,23
S001,P1314,23
S001,P1302,25
S001,P1045,27
S001,P1148,27
S001,P1016,28
S001,P1063,29
S001,P1112,29
S001,P1220,29
S001,P1097,30
S001,P1152,30
S001,P1233,30
S001,P1005,31
S001,P1048,31
S001,P1139,31
S001,P1258,31
S001,P1107,32
S001,P1146,32
S001,P1178,32
S001,P1309,32
S001,P1007,33
S001,P1039,33
S001,P1144,34
S001,P1184,34
S001,P1213,34
S001,P1311,34
S001,P1099,35
S001,P1197,35
S001,P1224,35
S001,P1013,36
S001,P1062,36
S001,P1177,36
S001,P1190,36
S001,P1208,36
S001,P1277,36
S001,P1106,37
S001,P1204,37
S001,P1209,37
S001,P1100,38
S001,P1267,38
S001,P1280,39
S001,P1318,39
S001,P1036,40
S001,P1236,40
S001,P1262,40
S001,P1109,41
S001,P1043,42
S001,P1221,42
S001,P1129,43
S001,P1004,44
S001,P1238,44
S001,P1006,45
S001,P1034,45
S001,P1145,45
S001,P1135,46
S001,P1346,46
S001,P1080,48
S001,P1244,48
S001,P1358,48
S001,P1230,50
S001,P1300,51
S001,P1326,52
S001,P1338,52
S001,P1159,54
S001,P1170,55
S001,P1279,56
S001,P1172,57
S001,P1194,57
S001,P1336,57
S001,P1119,58
S001,P1247,58
S001,P1297,60
S001,P1171,61
S001,P1047,62
S001,P1033,63
S001,P1127,63
S001,P1193,63
S001,P1223,63
S001,P1020,64
S001,P1124,64
S001,P1294,64
S001,P1114,65
S001,P1116,65
S001,P1019,66
S001,P1225,67
S001,P1295,67
S001,P1250,68
S001,P1014,70
S001,P1237,70
S001,P1252,70
S001,P1337,70
S001,P1345,70
S001,P1031,72
S001,P1323,72
S001,P1042,73
S001,P1212,73
S001,P1301,73
S001,P1324,73
S001,P1137,74
S001,P1282,75
S001,P1341,75
S001,P1072,76
S001,P1242,76
S001,P1259,76
S001,P1293,76
S001,P1355,76
S001,P1173,77
S001,P1308,78
S001,P1035,79
S001,P1175,79
S001,P1068,80
S001,P1168,80
S001,P1228,80
S001,P1012,81
S001,P1251,81
S001,P1298,81
S001,P1273,83
S001,P1111,84
S001,P1163,84
S001,P1086,85
S001,P1266,85
S001,P1113,86
S001,P1196,86
S001,P1023,87
S001,P1180,87
S001,P1070,91
S001,P1073,91
S001,P1115,91
S001,P1313,92
S001,P1038,93
S001,P1087,93
S001,P1149,93
S001,P1000,94
S001,P1214,94
S001,P1263,94
S001,P1288,95
S001,P1339,95
S001,P1231,96
S001,P1349,96
S001,P1010,97
S001,P1061,97
S001,P1095,97
S001,P1156,97
S001,P1186,97
S001,P1207,97
S001,P1312,97
S001,P1260,99
S001,P1265,99
S001,P1342,99
S001,P1040,100
S001,P1066,100
S001,P1169,101
S001,P1017,102
S001,P1069,102
S001,P1161,102
S001,P1343,103
S001,P1078,104
S001,P1246,104
S001,P1037,105
S001,P1075,105
S001,P1274,105
S001,P1340,106
S001,P1118,107
S001,P1334,107
