product_id1,product_id2,attribute_score,transaction_score,substitute_score
P0014,P0111,0.6246284435047572,0.7466076731139946,0.6734201353484521
P0017,P0111,0.681568310428456,0.743355729554764,0.7062832780789792
P0111,P0149,0.6402058329705864,0.7455961337482506,0.6823619532816521
P0111,P0173,0.6831125759177499,0.7451622847641245,0.7079324594562997
P0037,P0111,0.8453651306925358,0.7466076731139946,0.8058621476611194
P0111,P0167,0.671792798955289,0.743355729554764,0.7004179711950791
P0089,P0111,0.8179580457268413,0.744024471397807,0.7883846159952276
P0041,P0111,0.6805816387869743,0.7451622847641245,0.7064138971778344
P0077,P0111,0.6451101714238335,0.747237792031296,0.6859612196668186
P0061,P0111,0.6601869701303817,0.7447599316537614,0.6940161547397337
P0111,P0168,0.6320595734096139,0.7455961337482506,0.6774741975450687
P0111,P0122,0.7919221441452646,0.7472377672812998,0.7740483933996787
P0111,P0165,0.6156468295918579,0.7447599316537614,0.6672920704166193
P0111,P0129,0.6586717243952491,0.7460720163639676,0.6936318411827365
P0111,P0112,0.22598200775242003,0.7447599316537614,0.4334931773129566
P0039,P0111,0.11888875069958336,0.7436831706608917,0.36880651868410674
P0111,P0150,0.07305308542171922,0.7451622847641245,0.34189676515868134
P0029,P0111,0.1326420413324213,0.7430401420775619,0.37680128163047755
P0111,P0118,0.14451733930311134,0.7466076483639983,0.3853534629274661
P0111,P0171,0.13556267230479035,0.7460720246139669,0.379766413228461
P0091,P0111,0.23212590427626806,0.7447599316537614,0.4371795152272654
P0090,P0111,0.35422548348983274,0.7460720163639676,0.5109640966394867
P0111,P0177,0.08100864374106088,0.7447599316537614,0.3465091589061411
P0111,P0160,0.06861928155380055,0.7443822406175603,0.3389244651793044
P0084,P0111,0.09633418319756236,0.7447599357787612,0.3557044842300419
P0101,P0111,0.06461248263996851,0.7480521358977639,0.33798834394308663
P0036,P0111,0.04885061045125719,0.9999999015000098,0.4293103268707583
P0111,P0175,0.3708911137367079,0.74559614199825,0.5207731250413248
P0111,P0184,0.21604066911261738,0.7451622847641245,0.42768931537322025
P0111,P0179,0.2982173579586676,0.7480521358977639,0.4781512691343061
P0111,P0136,0.0536305785295276,0.7472377672812998,0.33107345403023647
P0048,P0111,0.11836224944551542,0.7451622847641245,0.36908226357295904
P0093,P0111,0.04995336110938375,0.7447599316537614,0.32787598932713485
P0079,P0111,0.06754140497066932,0.745398866298377,0.33868438950175245
P0111,P0170,0.23946168356030928,0.2277226952652568,0.23476608824228828
P0068,P0111,0.12381174470907697,0.7443822406175603,0.3720399430724703
P0026,P0111,0.29936778392720187,0.7455961337482506,0.4778591238556214
P0111,P0132,0.07350911012996704,0.7460720163639676,0.3425342726235673
P0111,P0127,0.10392284891072281,0.743683166535892,0.3598269759607905
P0031,P0111,0.08973322554567503,0.7418683440451573,0.35058727294546793
P0074,P0111,0.07837821031030409,0.7480521358977639,0.34624778054528804
P0058,P0111,0.0776547892958564,0.7440244738728068,0.34420266312663655
P0111,P0158,0.1322523474908277,0.7451622888891243,0.37741632405014636
P0080,P0111,0.08944302800406277,0.7466076483639983,0.35230887614803696
P0053,P0111,0.053000435296312425,0.7455961337482506,0.33003871467708773
P0064,P0111,0.11712269137491449,0.7449980063613828,0.36827281736950185
P0111,P0197,0.07074186928673591,0.7455961485982496,0.34068358101134144
P0062,P0111,0.09141844412660904,0.7480521358977639,0.354071920835071
P0052,P0111,0.09800385548162427,0.747237792031296,0.35769743010149296
P0078,P0111,0.05722073668718778,0.8022098167259235,0.3552163687026821
P0111,P0181,0.0975011918827602,0.7460720246139669,0.3569295249752429
P0019,P0111,0.08820761561262774,0.7449980063613828,0.3509237719121298
P0095,P0111,0.13402877101341126,0.9999999015000098,0.48041722320805075
P0070,P0111,0.10864685032025373,0.7451622765141251,0.3632530207978023
P0111,P0180,0.26702112223535024,0.74559614199825,0.45845113014051014
P0007,P0111,0.06925771614534751,0.7466076731139946,0.3401976989328064
P0092,P0111,0.3895756897373712,0.7455961337482506,0.531983867341723
P0073,P0111,0.2349346019111581,0.7455961337482506,0.4391992146459951
P0111,P0164,0.3890927181145451,0.8500759272654757,0.5734860017749173
P0015,P0111,0.0708247828700537,0.7986255132803588,0.3619450750341757
P0082,P0111,0.13535746118607883,0.7466076483639983,0.3798575360572466
P0104,P0111,0.14263727380138053,0.745398866298377,0.38374191080017916
P0102,P0111,0.0664262172750451,0.7460720163639676,0.3382845369106141
P0051,P0111,0.10775760213917046,0.7440244738728068,0.362264350832625
P0111,P0117,0.07479427067139274,0.7451622847641245,0.3429414763084855
P0067,P0111,0.07062993594925689,0.7449980157899538,0.3403771678855357
P0111,P0134,0.09508115166967229,0.7466076483639983,0.3556917503474027
P0111,P0194,0.09832099993781482,0.7466076813639939,0.3576356725082865
P0016,P0111,0.059287357751383635,0.7466076813639939,0.33421548719642774
P0111,P0137,0.11600750367929026,0.7480521606477601,0.3688253664666782
P0096,P0111,0.11415023941297182,0.7466076483639983,0.3671332029933824
P0111,P0133,0.06908359762038017,0.7447599316537614,0.3393541312337327
P0005,P0111,0.0896254378873619,0.7433557320297639,0.35111755554432267
P0008,P0111,0.08154965487220944,0.7460720163639676,0.34735859946891273
P0020,P0111,0.13937255145824265,0.7460720163639676,0.3820523374205327
P0111,P0152,0.11724084323114235,0.7446200268771335,0.3681925166895388
P0111,P0151,0.0843500611487677,0.7460720246139669,0.3490388465348474
P0106,P0111,0.12695002383765522,0.7451622765141251,0.37423492490824317
P0111,P0163,0.06574425305225629,0.747237792031296,0.33834166864387216
P0042,P0111,0.449175009845988,0.7447599316537614,0.5674089785690974
P0111,P0116,0.4289586053935286,0.7447599316537614,0.5552791358976217
P0094,P0111,0.0798582177725266,0.9999999015000098,0.4479148912635199
P0013,P0111,0.22773977571875714,0.7480521606477601,0.43586472969035833
P0038,P0111,0.1019971809381672,0.7443822406175603,0.35895120480992443
P0063,P0111,0.046885558526625626,0.8189393734424217,0.3557070844929441
P0054,P0111,0.28636900690255584,0.7846653572478517,0.4856875470406742
P0111,P0182,0.05355802914412453,0.7427348043024475,0.32922873920745377
P0111,P0153,0.11483013079617768,0.7466076483639983,0.36754113782330594
P0085,P0111,0.06391393570051615,0.7449980146113824,0.33634756726486265
