productid_1,productid_2,attribute_score
P0001,P0002,0.07320854839044007
P0001,P0003,0.0649980308023962
P0001,P0004,0.0865908007379309
P0001,P0006,0.4472348319963518
P0001,P0010,0.07340546815081982
P0001,P0012,0.08357481914474639
P0001,P0018,0.08304002653234667
P0001,P0021,0.09969529258130715
P0001,P0022,0.07091806065128621
P0001,P0023,0.09013950210393218
P0001,P0024,0.07397964471529549
P0001,P0025,0.4194753643015567
P0001,P0027,0.6397249341873433
P0001,P0028,0.13300478825943662
P0001,P0030,0.12032315569098108
P0001,P0032,0.7201863482785068
P0001,P0033,0.5688721679829198
P0001,P0034,0.4046421242460046
P0001,P0035,0.13852268722923533
P0001,P0040,0.08960263665194951
P0001,P0043,0.06302676035901582
P0001,P0044,0.07675103123769252
P0001,P0045,0.2684182161142549
P0001,P0046,0.09176253549737785
P0001,P0047,0.11223908131749684
P0001,P0049,0.8858445784880709
P0001,P0050,0.10940136392844557
P0001,P0055,0.6837634475467944
P0001,P0056,0.14338971456998945
P0001,P0057,0.5958947412059781
P0001,P0059,0.5955620504529154
P0001,P0060,0.23295504010944593
P0001,P0065,0.34654975851418857
P0001,P0071,0.07149223721576187
P0001,P0075,0.5658230209564081
P0001,P0076,0.08922745268743654
P0001,P0081,0.3924631552764132
P0001,P0083,0.08507762784238128
P0001,P0086,0.9368478328462161
P0001,P0087,0.44762659867752835
P0001,P0088,0.1910380780631387
P0001,P0097,0.09522832328006137
P0001,P0098,0.09528843562796675
P0001,P0099,0.11061604792405116
P0001,P0103,0.07943121281844
P0001,P0107,0.6146187011587174
P0001,P0109,0.09534336587691479
P0001,P0110,0.05978483925129035
P0001,P0113,0.21172501710092656
P0001,P0114,0.08422776361337397
P0001,P0115,0.09230147378894349
P0001,P0119,0.3970524221130527
P0001,P0121,0.26620442343967
P0001,P0123,0.06890326057666399
P0001,P0124,0.09585017515494476
P0001,P0125,0.5580519453599486
P0001,P0126,0.11042949236158615
P0001,P0128,0.9252917521712996
P0001,P0131,0.41369836038388985
P0001,P0135,0.09032709408618868
P0001,P0139,0.1369887859378563
P0001,P0140,0.11261219244242689
P0001,P0141,0.36795597288725823
P0001,P0142,0.6481510270920134
P0001,P0143,0.09280102812843315
P0001,P0144,0.8830773376448398
P0001,P0145,0.062071181311278326
P0001,P0146,0.0806334597765479
P0001,P0147,0.07097195448044276
P0001,P0148,0.047911614120183244
P0001,P0154,0.08242646601579505
P0001,P0155,0.12072114089090646
P0001,P0157,0.7150560703107187
P0001,P0159,0.6112669195530959
P0001,P0161,0.04978546110316523
P0001,P0162,0.5983085629003172
P0001,P0166,0.6224105051510064
P0001,P0169,0.13513359451112078
P0001,P0172,0.5529962896171465
P0001,P0174,0.5789088572435379
P0001,P0176,0.05604543664365816
P0001,P0178,0.8994310055344817
P0001,P0183,0.07861451402275979
P0001,P0185,0.03938395207594885
P0001,P0187,0.9316139128992809
P0001,P0188,0.08349812408017744
P0001,P0189,0.07537052007545136
P0001,P0190,0.6449671454926104
P0001,P0191,0.09135625893912071
P0001,P0192,0.04625541529341046
P0001,P0193,0.12761125966461456
P0001,P0196,0.11697966544369132
P0001,P0198,0.08936011442074498
P0001,P0199,0.12432580892564725
P0001,P0200,0.040521941006985474
P0002,P0003,0.18820657919283626
P0002,P0004,0.10979934912837096
P0002,P0006,0.07597371639408826
P0002,P0012,0.43963372924569366
