transaction_id,customer_id,store_id,transaction_date,product_id,quantity,unit_price,total_price
TRANS00540,CUST00087,STORE00019,2023-12-03,PROD00001,1,125.46,125.46
TRANS00722,CUST00356,STORE00017,2023-10-03,PROD00001,2,125.46,250.92
TRANS00765,CUST00170,STORE00009,2022-08-08,PROD00001,2,125.46,250.92
TRANS01485,CUST00070,STORE00017,2022-04-15,PROD00001,2,125.46,250.92
TRANS02133,CUST00323,STORE00014,2022-05-14,PROD00001,2,125.46,250.92
TRANS02715,CUST00027,STORE00011,2022-11-18,PROD00001,2,125.46,250.92
TRANS02790,CUST00363,STORE00009,2023-10-23,PROD00001,2,125.46,250.92
TRANS00002,CUST00230,STORE00003,2022-11-22,PROD00001,3,125.46,376.38
TRANS00970,CUST00268,STORE00014,2023-10-08,PROD00001,3,125.46,376.38
TRANS01002,CUST00313,STORE00002,2023-06-07,PROD00001,3,125.46,376.38
TRANS01498,CUST00266,STORE00003,2023-12-12,PROD00001,3,125.46,376.38
TRANS01982,CUST00266,STORE00011,2023-12-06,PROD00001,3,125.46,376.38
TRANS02291,CUST00015,STORE00006,2022-06-10,PROD00001,3,125.46,376.38
TRANS00303,CUST00033,STORE00003,2023-11-19,PROD00002,1,148.36,148.36
TRANS00462,CUST00092,STORE00018,2023-12-24,PROD00002,1,148.36,148.36
TRANS00500,CUST00432,STORE00013,2023-10-26,PROD00002,1,148.36,148.36
TRANS01327,CUST00482,STORE00003,2022-03-31,PROD00002,1,148.36,148.36
TRANS01731,CUST00007,STORE00020,2022-07-09,PROD00002,1,148.36,148.36
TRANS02013,CUST00090,STORE00004,2022-03-17,PROD00002,1,148.36,148.36
TRANS02629,CUST00461,STORE00002,2023-11-04,PROD00002,1,148.36,148.36
TRANS01901,CUST00026,STORE00013,2023-07-24,PROD00002,2,148.36,296.72
TRANS02307,CUST00024,STORE00017,2022-02-27,PROD00002,2,148.36,296.72
TRANS02404,CUST00154,STORE00019,2022-10-31,PROD00002,2,148.36,296.72
TRANS02868,CUST00433,STORE00008,2023-09-06,PROD00002,2,148.36,296.72
TRANS00884,CUST00132,STORE00010,2022-01-20,PROD00002,3,148.36,445.08
TRANS00950,CUST00429,STORE00010,2023-05-12,PROD00002,3,148.36,445.08
TRANS02097,CUST00152,STORE00014,2022-05-01,PROD00002,3,148.36,445.08
TRANS02464,CUST00309,STORE00002,2023-05-10,PROD00002,3,148.36,445.08
TRANS02665,CUST00409,STORE00013,2023-03-17,PROD00002,3,148.36,445.08
TRANS02752,CUST00191,STORE00004,2023-01-05,PROD00002,3,148.36,445.08
TRANS02845,CUST00258,STORE00007,2023-11-12,PROD00002,3,148.36,445.08
TRANS00200,CUST00010,STORE00004,2023-06-03,PROD00003,1,161.1,161.1
TRANS00377,CUST00286,STORE00019,2022-02-07,PROD00003,1,161.1,161.1
TRANS00640,CUST00407,STORE00008,2023-04-20,PROD00003,1,161.1,161.1
TRANS00721,CUST00484,STORE00015,2023-01-11,PROD00003,1,161.1,161.1
TRANS02098,CUST00006,STORE00006,2022-03-30,PROD00003,1,161.1,161.1
TRANS00192,CUST00242,STORE00006,2022-11-21,PROD00003,2,161.1,322.2
TRANS00381,CUST00483,STORE00011,2023-10-17,PROD00003,2,161.1,322.2
TRANS00671,CUST00304,STORE00014,2023-11-07,PROD00003,2,161.1,322.2
TRANS01318,CUST00173,STORE00002,2023-10-23,PROD00003,2,161.1,322.2
TRANS01559,CUST00397,STORE00014,2023-12-29,PROD00003,2,161.1,322.2
TRANS01809,CUST00140,STORE00006,2023-05-28,PROD00003,2,161.1,322.2
TRANS01963,CUST00443,STORE00014,2022-02-10,PROD00003,2,161.1,322.2
TRANS02207,CUST00222,STORE00014,2023-02-15,PROD00003,2,161.1,322.2
TRANS02741,CUST00368,STORE00002,2023-08-19,PROD00003,2,161.1,322.2
TRANS02402,CUST00230,STORE00009,2022-06-19,PROD00003,3,161.1,483.3
TRANS02557,CUST00469,STORE00003,2022-09-05,PROD00003,3,161.1,483.3
TRANS02781,CUST00129,STORE00009,2022-02-15,PROD00003,3,161.1,483.3
TRANS00475,CUST00152,STORE00006,2023-09-27,PROD00004,1,36.47,36.47
TRANS00499,CUST00269,STORE00002,2023-07-02,PROD00004,1,36.47,36.47
TRANS00594,CUST00466,STORE00019,2023-12-15,PROD00004,1,36.47,36.47
TRANS00817,CUST00072,STORE00009,2023-06-28,PROD00004,1,36.47,36.47
TRANS01428,CUST00208,STORE00018,2023-08-24,PROD00004,1,36.47,36.47
TRANS01493,CUST00398,STORE00011,2022-06-02,PROD00004,1,36.47,36.47
TRANS01820,CUST00493,STORE00003,2022-08-31,PROD00004,1,36.47,36.47
TRANS01912,CUST00404,STORE00003,2022-08-29,PROD00004,1,36.47,36.47
TRANS01948,CUST00466,STORE00007,2023-03-23,PROD00004,1,36.47,36.47
TRANS02142,CUST00357,STORE00008,2023-12-05,PROD00004,1,36.47,36.47
TRANS02510,CUST00176,STORE00012,2022-05-04,PROD00004,1,36.47,36.47
TRANS00413,CUST00465,STORE00012,2022-06-30,PROD00004,2,36.47,72.94
TRANS01355,CUST00019,STORE00003,2022-11-22,PROD00004,2,36.47,72.94
TRANS01585,CUST00107,STORE00005,2022-12-24,PROD00004,2,36.47,72.94
TRANS01930,CUST00043,STORE00006,2022-09-04,PROD00004,2,36.47,72.94
TRANS02125,CUST00177,STORE00002,2023-09-24,PROD00004,2,36.47,72.94
TRANS02445,CUST00076,STORE00018,2022-06-26,PROD00004,2,36.47,72.94
TRANS02522,CUST00258,STORE00007,2022-10-27,PROD00004,2,36.47,72.94
TRANS02821,CUST00212,STORE00019,2022-09-09,PROD00004,2,36.47,72.94
TRANS02929,CUST00066,STORE00004,2022-12-23,PROD00004,2,36.47,72.94
TRANS00286,CUST00099,STORE00012,2023-09-12,PROD00004,3,36.47,109.41
TRANS00354,CUST00437,STORE00010,2023-07-28,PROD00004,3,36.47,109.41
TRANS00576,CUST00056,STORE00009,2022-03-14,PROD00004,3,36.47,109.41
TRANS00682,CUST00362,STORE00009,2023-05-02,PROD00004,3,36.47,109.41
TRANS01381,CUST00423,STORE00014,2022-02-06,PROD00004,3,36.47,109.41
TRANS01956,CUST00480,STORE00017,2022-08-04,PROD00004,3,36.47,109.41
TRANS00004,CUST00296,STORE00014,2023-01-09,PROD00005,1,43.85,43.85
TRANS00159,CUST00406,STORE00020,2023-03-24,PROD00005,1,43.85,43.85
TRANS00422,CUST00492,STORE00013,2023-07-17,PROD00005,1,43.85,43.85
TRANS00449,CUST00416,STORE00004,2022-10-21,PROD00005,1,43.85,43.85
TRANS00732,CUST00074,STORE00008,2023-05-30,PROD00005,1,43.85,43.85
TRANS02004,CUST00228,STORE00004,2023-07-03,PROD00005,1,43.85,43.85
TRANS02104,CUST00070,STORE00005,2022-05-16,PROD00005,1,43.85,43.85
TRANS02514,CUST00082,STORE00007,2023-04-11,PROD00005,1,43.85,43.85
TRANS02940,CUST00418,STORE00004,2023-04-27,PROD00005,1,43.85,43.85
TRANS00225,CUST00212,STORE00010,2022-08-08,PROD00005,2,43.85,87.7
TRANS00375,CUST00280,STORE00001,2023-05-11,PROD00005,2,43.85,87.7
TRANS01211,CUST00182,STORE00014,2023-03-13,PROD00005,2,43.85,87.7
TRANS01285,CUST00431,STORE00015,2022-03-05,PROD00005,2,43.85,87.7
TRANS01622,CUST00044,STORE00011,2022-06-27,PROD00005,2,43.85,87.7
TRANS02747,CUST00158,STORE00016,2022-10-20,PROD00005,2,43.85,87.7
TRANS00274,CUST00420,STORE00008,2022-04-12,PROD00005,3,43.85,131.55
TRANS00576,CUST00056,STORE00009,2022-03-14,PROD00005,3,43.85,131.55
TRANS00928,CUST00074,STORE00001,2022-12-09,PROD00005,3,43.85,131.55
TRANS02291,CUST00015,STORE00006,2022-06-10,PROD00005,3,43.85,131.55
TRANS02742,CUST00267,STORE00013,2022-08-06,PROD00005,3,43.85,131.55
TRANS02867,CUST00359,STORE00018,2023-06-06,PROD00005,3,43.85,131.55
TRANS02874,CUST00293,STORE00012,2023-05-15,PROD00005,3,43.85,131.55
TRANS00362,CUST00430,STORE00020,2022-12-10,PROD00006,1,112.24,112.24
TRANS00453,CUST00002,STORE00013,2022-06-04,PROD00006,1,112.24,112.24
TRANS00758,CUST00125,STORE00015,2023-02-21,PROD00006,1,112.24,112.24
TRANS00843,CUST00455,STORE00007,2022-09-03,PROD00006,1,112.24,112.24
TRANS00985,CUST00388,STORE00005,2023-11-26,PROD00006,1,112.24,112.24
TRANS01611,CUST00054,STORE00003,2023-01-26,PROD00006,1,112.24,112.24
TRANS02091,CUST00181,STORE00016,2023-02-17,PROD00006,1,112.24,112.24
TRANS02590,CUST00021,STORE00017,2022-07-30,PROD00006,1,112.24,112.24
TRANS00412,CUST00258,STORE00017,2022-11-30,PROD00006,2,112.24,224.48
TRANS00696,CUST00457,STORE00001,2022-06-22,PROD00006,2,112.24,224.48
TRANS01493,CUST00398,STORE00011,2022-06-02,PROD00006,2,112.24,224.48
TRANS01517,CUST00160,STORE00015,2022-05-24,PROD00006,2,112.24,224.48
TRANS01715,CUST00296,STORE00009,2022-07-11,PROD00006,2,112.24,224.48
TRANS02029,CUST00425,STORE00008,2022-03-02,PROD00006,2,112.24,224.48
TRANS02154,CUST00152,STORE00002,2022-06-17,PROD00006,2,112.24,224.48
TRANS02196,CUST00385,STORE00014,2023-11-21,PROD00006,2,112.24,224.48
TRANS02444,CUST00367,STORE00009,2023-07-15,PROD00006,2,112.24,224.48
TRANS02539,CUST00132,STORE00012,2023-11-07,PROD00006,2,112.24,224.48
TRANS02614,CUST00274,STORE00004,2023-11-11,PROD00006,2,112.24,224.48
TRANS01150,CUST00055,STORE00014,2023-03-19,PROD00006,3,112.24,336.72
TRANS01297,CUST00336,STORE00008,2023-07-16,PROD00006,3,112.24,336.72
TRANS01371,CUST00219,STORE00011,2023-03-12,PROD00006,3,112.24,336.72
TRANS01457,CUST00313,STORE00001,2023-12-06,PROD00006,3,112.24,336.72
TRANS01772,CUST00025,STORE00004,2022-07-24,PROD00006,3,112.24,336.72
TRANS01798,CUST00366,STORE00011,2023-09-20,PROD00006,3,112.24,336.72
TRANS02009,CUST00008,STORE00016,2022-01-25,PROD00006,3,112.24,336.72
TRANS02404,CUST00154,STORE00019,2022-10-31,PROD00006,3,112.24,336.72
TRANS02514,CUST00082,STORE00007,2023-04-11,PROD00006,3,112.24,336.72
TRANS00060,CUST00127,STORE00005,2022-10-18,PROD00007,1,119.76,119.76
TRANS00961,CUST00303,STORE00014,2023-07-15,PROD00007,1,119.76,119.76
TRANS01005,CUST00306,STORE00001,2023-07-24,PROD00007,1,119.76,119.76
TRANS01051,CUST00376,STORE00013,2022-02-23,PROD00007,1,119.76,119.76
TRANS01268,CUST00383,STORE00007,2023-01-30,PROD00007,1,119.76,119.76
TRANS01417,CUST00289,STORE00020,2023-12-30,PROD00007,1,119.76,119.76
TRANS01570,CUST00453,STORE00014,2023-02-02,PROD00007,1,119.76,119.76
TRANS02064,CUST00400,STORE00018,2022-01-01,PROD00007,1,119.76,119.76
TRANS02515,CUST00402,STORE00018,2022-03-09,PROD00007,1,119.76,119.76
TRANS00848,CUST00372,STORE00010,2023-04-02,PROD00007,2,119.76,239.52
TRANS00853,CUST00335,STORE00006,2023-10-26,PROD00007,2,119.76,239.52
TRANS01121,CUST00160,STORE00013,2023-06-13,PROD00007,2,119.76,239.52
TRANS01225,CUST00114,STORE00017,2022-03-14,PROD00007,2,119.76,239.52
TRANS01685,CUST00135,STORE00012,2022-03-23,PROD00007,2,119.76,239.52
TRANS02935,CUST00381,STORE00004,2022-03-23,PROD00007,2,119.76,239.52
TRANS00068,CUST00319,STORE00017,2023-05-11,PROD00007,3,119.76,359.28
TRANS00968,CUST00215,STORE00006,2023-03-30,PROD00007,3,119.76,359.28
TRANS01815,CUST00002,STORE00016,2023-06-04,PROD00007,3,119.76,359.28
TRANS02186,CUST00394,STORE00005,2023-02-13,PROD00007,3,119.76,359.28
TRANS02906,CUST00340,STORE00009,2022-06-05,PROD00007,3,119.76,359.28
TRANS02995,CUST00261,STORE00018,2022-11-04,PROD00007,3,119.76,359.28
TRANS00346,CUST00054,STORE00019,2022-08-03,PROD00008,1,94.49,94.49
TRANS02037,CUST00082,STORE00005,2023-06-17,PROD00008,1,94.49,94.49
TRANS02971,CUST00012,STORE00017,2022-11-14,PROD00008,1,94.49,94.49
TRANS00483,CUST00477,STORE00011,2022-03-05,PROD00008,2,94.49,188.98
TRANS01097,CUST00408,STORE00014,2023-06-16,PROD00008,2,94.49,188.98
TRANS01121,CUST00160,STORE00013,2023-06-13,PROD00008,2,94.49,188.98
TRANS01256,CUST00068,STORE00005,2023-09-10,PROD00008,2,94.49,188.98
TRANS01785,CUST00161,STORE00008,2023-09-01,PROD00008,2,94.49,188.98
TRANS01994,CUST00444,STORE00018,2023-02-26,PROD00008,2,94.49,188.98
TRANS02314,CUST00485,STORE00006,2022-03-11,PROD00008,2,94.49,188.98
TRANS02959,CUST00451,STORE00012,2023-02-27,PROD00008,2,94.49,188.98
TRANS00212,CUST00084,STORE00004,2023-01-05,PROD00008,3,94.49,283.47
TRANS02217,CUST00408,STORE00011,2023-08-08,PROD00008,3,94.49,283.47
TRANS02650,CUST00065,STORE00005,2022-03-23,PROD00008,3,94.49,283.47
TRANS00210,CUST00337,STORE00016,2023-09-13,PROD00009,1,88.53,88.53
TRANS00840,CUST00349,STORE00015,2022-05-13,PROD00009,1,88.53,88.53
TRANS01441,CUST00452,STORE00009,2022-07-08,PROD00009,1,88.53,88.53
TRANS02031,CUST00196,STORE00011,2023-12-07,PROD00009,1,88.53,88.53
TRANS02458,CUST00053,STORE00020,2022-04-17,PROD00009,1,88.53,88.53
TRANS02463,CUST00349,STORE00015,2022-10-31,PROD00009,1,88.53,88.53
TRANS02730,CUST00011,STORE00005,2023-03-03,PROD00009,1,88.53,88.53
TRANS00028,CUST00008,STORE00019,2023-06-18,PROD00009,2,88.53,177.06
TRANS00513,CUST00098,STORE00014,2022-05-25,PROD00009,2,88.53,177.06
TRANS00712,CUST00231,STORE00016,2023-04-06,PROD00009,2,88.53,177.06
TRANS01153,CUST00319,STORE00020,2022-06-11,PROD00009,2,88.53,177.06
TRANS01753,CUST00090,STORE00015,2023-06-17,PROD00009,2,88.53,177.06
TRANS02284,CUST00207,STORE00002,2023-03-19,PROD00009,2,88.53,177.06
TRANS02727,CUST00083,STORE00012,2022-04-05,PROD00009,2,88.53,177.06
TRANS02868,CUST00433,STORE00008,2023-09-06,PROD00009,2,88.53,177.06
TRANS00419,CUST00393,STORE00017,2022-07-30,PROD00009,3,88.53,265.59
TRANS00521,CUST00149,STORE00008,2022-11-29,PROD00009,3,88.53,265.59
TRANS00821,CUST00475,STORE00012,2023-05-19,PROD00009,3,88.53,265.59
TRANS01253,CUST00226,STORE00006,2022-03-04,PROD00009,3,88.53,265.59
TRANS01877,CUST00193,STORE00019,2022-03-22,PROD00009,3,88.53,265.59
TRANS02448,CUST00382,STORE00015,2023-02-20,PROD00009,3,88.53,265.59
TRANS00166,CUST00053,STORE00013,2023-09-30,PROD00010,1,46.27,46.27
TRANS00177,CUST00482,STORE00012,2022-09-12,PROD00010,1,46.27,46.27
TRANS00289,CUST00393,STORE00020,2023-12-07,PROD00010,1,46.27,46.27
TRANS00512,CUST00272,STORE00007,2023-08-17,PROD00010,1,46.27,46.27
TRANS00872,CUST00380,STORE00008,2022-01-15,PROD00010,1,46.27,46.27
TRANS01079,CUST00459,STORE00011,2022-07-19,PROD00010,1,46.27,46.27
TRANS01344,CUST00357,STORE00002,2023-06-08,PROD00010,1,46.27,46.27
TRANS01554,CUST00092,STORE00014,2023-05-25,PROD00010,1,46.27,46.27
TRANS02844,CUST00121,STORE00008,2023-12-20,PROD00010,1,46.27,46.27
TRANS00826,CUST00081,STORE00019,2022-02-11,PROD00010,2,46.27,92.54
TRANS01040,CUST00140,STORE00008,2022-04-10,PROD00010,2,46.27,92.54
TRANS01146,CUST00023,STORE00002,2023-08-06,PROD00010,2,46.27,92.54
TRANS01292,CUST00081,STORE00005,2022-10-08,PROD00010,2,46.27,92.54
TRANS01866,CUST00008,STORE00011,2022-02-28,PROD00010,2,46.27,92.54
TRANS02350,CUST00014,STORE00015,2023-01-04,PROD00010,2,46.27,92.54
TRANS02582,CUST00045,STORE00006,2023-10-15,PROD00010,2,46.27,92.54
TRANS02876,CUST00115,STORE00001,2022-04-04,PROD00010,2,46.27,92.54
TRANS00145,CUST00251,STORE00008,2023-02-04,PROD00010,3,46.27,138.81
TRANS00336,CUST00492,STORE00016,2022-06-01,PROD00010,3,46.27,138.81
TRANS00461,CUST00061,STORE00004,2023-06-30,PROD00010,3,46.27,138.81
TRANS01070,CUST00050,STORE00010,2023-12-11,PROD00010,3,46.27,138.81
TRANS01588,CUST00302,STORE00003,2023-11-15,PROD00010,3,46.27,138.81
TRANS02025,CUST00113,STORE00014,2022-11-15,PROD00010,3,46.27,138.81
TRANS02702,CUST00423,STORE00016,2022-03-10,PROD00010,3,46.27,138.81
TRANS02746,CUST00294,STORE00016,2023-02-07,PROD00010,3,46.27,138.81
TRANS00144,CUST00310,STORE00003,2022-09-26,PROD00011,1,107.16,107.16
TRANS00592,CUST00481,STORE00010,2023-02-05,PROD00011,1,107.16,107.16
TRANS00654,CUST00287,STORE00020,2022-07-18,PROD00011,1,107.16,107.16
TRANS00675,CUST00495,STORE00020,2022-07-09,PROD00011,1,107.16,107.16
TRANS00816,CUST00041,STORE00018,2022-12-14,PROD00011,1,107.16,107.16
TRANS01275,CUST00444,STORE00006,2022-12-01,PROD00011,1,107.16,107.16
TRANS02846,CUST00459,STORE00016,2022-09-07,PROD00011,1,107.16,107.16
TRANS01080,CUST00348,STORE00003,2022-07-22,PROD00011,2,107.16,214.32
TRANS01374,CUST00183,STORE00016,2022-08-19,PROD00011,2,107.16,214.32
TRANS02244,CUST00300,STORE00013,2022-06-12,PROD00011,2,107.16,214.32
TRANS02264,CUST00405,STORE00007,2023-04-03,PROD00011,2,107.16,214.32
TRANS02621,CUST00357,STORE00009,2022-04-24,PROD00011,2,107.16,214.32
TRANS02998,CUST00460,STORE00003,2023-07-10,PROD00011,2,107.16,214.32
TRANS00139,CUST00257,STORE00002,2022-08-29,PROD00011,3,107.16,321.48
TRANS01104,CUST00301,STORE00014,2022-03-28,PROD00011,3,107.16,321.48
TRANS01257,CUST00211,STORE00008,2023-09-11,PROD00011,3,107.16,321.48
TRANS01262,CUST00112,STORE00015,2022-05-06,PROD00011,3,107.16,321.48
TRANS01373,CUST00384,STORE00020,2023-04-05,PROD00011,3,107.16,321.48
TRANS01750,CUST00422,STORE00004,2023-11-27,PROD00011,3,107.16,321.48
TRANS02377,CUST00115,STORE00019,2022-05-27,PROD00011,3,107.16,321.48
TRANS01046,CUST00402,STORE00020,2022-05-08,PROD00012,1,132.51,132.51
TRANS02361,CUST00316,STORE00014,2023-03-06,PROD00012,1,132.51,132.51
TRANS02549,CUST00483,STORE00004,2023-05-16,PROD00012,1,132.51,132.51
TRANS02742,CUST00267,STORE00013,2022-08-06,PROD00012,1,132.51,132.51
TRANS02984,CUST00202,STORE00020,2023-03-14,PROD00012,1,132.51,132.51
TRANS00643,CUST00011,STORE00014,2023-11-13,PROD00012,2,132.51,265.02
