productid_1,productid_2,transaction_score
P0001,P0002,0.39770568404682544
P0001,P0003,0.7308833955079164
P0001,P0004,0.7423884168117674
P0001,P0005,0.7631564176491356
P0001,P0006,0.3956895626169767
P0001,P0007,0.7518152853039537
P0001,P0008,0.725696733613138
P0001,P0009,0.7314226664564749
P0001,P0010,0.7640766717250259
P0001,P0011,0.3770911636916348
P0001,P0012,0.766135232047698
P0001,P0013,0.7654731760327523
P0001,P0014,0.3746665794955015
P0001,P0015,0.7473800153935601
P0001,P0016,0.7252580547158987
P0001,P0017,0.7765875104024554
P0001,P0018,0.35388916060242553
P0001,P0019,0.7810879978543174
P0001,P0020,0.7379205291734657
P0001,P0021,0.36818406062710113
P0001,P0022,0.7582388631361967
P0001,P0023,0.777721793813688
P0001,P0024,0.7448560040735224
P0001,P0025,0.27571176867220515
P0001,P0026,0.38109500031024307
P0001,P0027,0.7401213050097708
P0001,P0028,0.7527853347084744
P0001,P0029,0.7395972020483643
P0001,P0030,0.7656280017638488
P0001,P0031,0.7571284767432103
P0001,P0032,0.7645812208765792
P0001,P0033,0.7435460458207294
P0001,P0034,0.759589855298261
P0001,P0035,0.30805067639516887
P0001,P0036,0.7472288351063192
P0001,P0037,0.701825732128418
P0001,P0038,0.43676493786199705
P0001,P0039,0.7259663504545582
P0001,P0040,0.35643009986788443
P0001,P0041,0.7731933758132254
P0001,P0042,0.7305024900924711
P0001,P0043,0.7511902950284475
P0001,P0044,0.39520350767280216
P0001,P0045,0.3952740988941823
P0001,P0046,0.7354039714946743
P0001,P0047,0.7444844352577468
P0001,P0048,0.7649379727093573
P0001,P0049,0.7219480741513821
P0001,P0050,0.7303065628933112
P0001,P0051,0.4078168706441459
P0001,P0052,0.2941786242843987
P0001,P0053,0.740409798885409
P0001,P0054,0.7516064304049299
P0001,P0055,0.3675930576567424
P0001,P0056,0.7471427227180889
P0001,P0057,0.7663983172414359
P0001,P0058,0.7331763262533746
P0001,P0059,0.7545387577421387
P0001,P0060,0.3698297288961981
P0001,P0061,0.757037277745922
P0001,P0062,0.7646643633572083
P0001,P0063,0.772556897926588
P0001,P0064,0.7547512923650748
P0001,P0065,0.7407623950915492
P0001,P0066,0.7634243603660553
P0001,P0067,0.7362316574471721
P0001,P0068,0.3239563254156812
P0001,P0069,0.7375649319362996
P0001,P0070,0.7432818687841334
P0001,P0071,0.7573286323680576
P0001,P0072,0.7629147070033092
P0001,P0073,0.7418496964823862
P0001,P0074,0.38495110198202886
P0001,P0075,0.7854004443981545
P0001,P0076,0.7486695766949345
P0001,P0077,0.7613447223039002
P0001,P0078,0.7671669700989209
P0001,P0079,0.7453203740921766
P0001,P0080,0.7736957211860329
P0001,P0081,0.7493923837647503
P0001,P0082,0.7305142364008402
P0001,P0083,0.7502684599450958
P0001,P0084,0.7536628809109247
P0001,P0085,0.7464083489458955
P0001,P0086,0.34763264432348806
P0001,P0087,0.7362093328999081
P0001,P0088,0.39678223043712163
P0001,P0089,0.3791711404444804
P0001,P0090,0.7257775274428864
P0001,P0091,0.7550978125810639
P0001,P0092,0.7215664424475225
P0001,P0093,0.37612856055534155
P0001,P0094,0.7496297997424493
P0001,P0095,0.7825584238326175
P0001,P0096,0.7376223367460164
P0001,P0097,0.7268858482409906
P0001,P0098,0.4156785826561273
P0001,P0099,0.7522905166009326
P0001,P0100,0.7744831647402939
P0001,P0101,0.7400050164991806
P0001,P0102,0.4103534463425688
P0001,P0103,0.3858051088120167
P0001,P0104,0.7460946755655332
P0001,P0105,0.3045797777697499
P0001,P0106,0.7260548617977949
P0001,P0107,0.763793280456337
P0001,P0108,0.7481626709179376
P0001,P0109,0.7655969266121855
P0001,P0110,0.7200854507829777
P0001,P0111,0.41048210633656473
P0001,P0112,0.39594472633515193
P0001,P0113,0.39072479374696845
P0001,P0114,0.7415904017001304
P0001,P0115,0.7242503612565019
P0001,P0116,0.43746491369594415
P0001,P0117,0.3882830399596131
P0001,P0118,0.738998332858779
P0001,P0119,0.7570347040194261
P0001,P0120,0.7650498683289488
P0001,P0121,0.4053442230655835
P0001,P0122,0.3253672013127697
P0001,P0123,0.7821212307298411
P0001,P0124,0.7567789827648088
P0001,P0125,0.3558848946051641
P0001,P0126,0.7539296444919035
P0001,P0127,0.7298246396547851
P0001,P0128,0.3929630706529194
P0001,P0129,0.3916541514601473
P0001,P0130,0.37914577293451357
P0001,P0131,0.7606048213654413
P0001,P0132,0.7371944670236443
P0001,P0133,0.7700290338663756
P0001,P0134,0.3076444434334014
P0001,P0135,0.764167373352964
P0001,P0136,0.7578737738080905
P0001,P0137,0.37610301665197166
P0001,P0138,0.7323596648519564
P0001,P0139,0.7125452705071427
P0001,P0140,0.395295883363385
P0001,P0141,0.7451933071504295
P0001,P0142,0.74362139223333
P0001,P0143,0.3199969181252363
P0001,P0144,0.37022451196205175
P0001,P0145,0.7647853241388791
P0001,P0146,0.735334812308111
P0001,P0147,0.7324011800761195
P0001,P0148,0.733347825726313
P0001,P0149,0.7496657780677456
P0001,P0150,0.2930484092845201
P0001,P0151,0.7441256524053437
P0001,P0152,0.724730471314943
P0001,P0153,0.7459568547530896
P0001,P0154,0.7536197717728071
P0001,P0155,0.2926981915791232
P0001,P0156,0.7555540588922296
P0001,P0157,0.41638765821378604
P0001,P0158,0.7500363890379698
P0001,P0159,0.7403321173683344
P0001,P0160,0.725677579291612
P0001,P0161,0.7624049941052893
P0001,P0162,0.779859462596219
P0001,P0163,0.40866320224293906
P0001,P0164,0.39212025096858155
P0001,P0165,0.3720007794185383
P0001,P0166,0.7640459835616253
P0001,P0167,0.7314895237298973
P0001,P0168,0.7641864075519371
P0001,P0169,0.41274457424199684
P0001,P0170,0.7849367615247236
P0001,P0171,0.75446344860901
P0001,P0172,0.4000478176592495
P0001,P0173,0.3738349394276325
P0001,P0174,0.7616467946589958
P0001,P0175,0.7453203740921766
P0001,P0176,0.7611226724790412
P0001,P0177,0.7391056692675445
P0001,P0178,0.7406512711967247
P0001,P0179,0.7507766279820457
P0001,P0180,0.755701373530743
P0001,P0181,0.7593245984558917
P0001,P0182,0.3537355673557639
P0001,P0183,0.7218394315479
P0001,P0184,0.7538795672527152
P0001,P0185,0.3000796471383403
P0001,P0186,0.4156571640366533
P0001,P0187,0.3559709429517293
P0001,P0188,0.7245515973860646
P0001,P0189,0.7279286156126308
P0001,P0190,0.763639612028181
P0001,P0191,0.42545895404195794
P0001,P0192,0.3844102068354078
P0001,P0193,0.7537964373233419
P0001,P0194,0.7486338895433626
P0001,P0195,0.7488065739124415
P0001,P0196,0.7569572239414002
