product1,product2,correlation,Yulephi
P1001,P1002,-0.02093600094365534,-0.00978700365857839
P1001,P1003,-0.01809265452646653,-0.00978700365857839
P1001,P1004,-0.02345712262275051,-0.013888888888888888
P1001,P1007,-0.010401816454446388,-0.00978700365857839
P1001,P1008,-0.02093600094365534,-0.00978700365857839
P1001,P1009,-0.018092654526466523,-0.00978700365857839
P1001,P1010,-0.018092654526466505,-0.013888888888888888
P1001,P1011,-0.02093600094365539,-0.00978700365857839
P1001,P1012,-0.018092654526466582,-0.00978700365857839
P1001,P1013,-0.02093600094365543,-0.00978700365857839
P1001,P1015,-0.014741391813035538,-0.00978700365857839
P1001,P1016,-0.027874217998124274,-0.01706971854997297
P1001,P1017,-0.02986322237485989,-0.01706971854997297
P1001,P1020,-0.02575107296137345,-0.013888888888888888
P1001,P1021,-0.020936000943655383,-0.00978700365857839
P1001,P1022,-0.01809265452646655,-0.00978700365857839
P1001,P1023,-0.03689566642034327,-0.01977969430323089
P1001,P1025,-0.023457122622750452,-0.013888888888888888
P1001,P1026,-0.01474139181303554,-0.00978700365857839
P1001,P1027,-0.02575107296137344,-0.013888888888888888
P1001,P1028,-0.020936000943655365,-0.013888888888888888
P1001,P1029,-0.018092654526466533,-0.00978700365857839
P1001,P1032,-0.018092654526466526,-0.00978700365857839
P1001,P1034,-0.02575107296137344,-0.01706971854997297
P1001,P1035,-0.031743514000457156,-0.01706971854997297
P1001,P1036,-0.020936000943655424,-0.00978700365857839
P1001,P1037,,-0.00978700365857839
P1001,P1038,,-0.00978700365857839
P1001,P1039,-0.03524735915049247,-0.01977969430323089
P1001,P1040,-0.02787421799812427,-0.013888888888888888
P1001,P1041,-0.027874217998124277,-0.013888888888888888
P1001,P1043,-0.014741391813035484,-0.00978700365857839
P1001,P1044,-0.010401816454446348,-0.00978700365857839
P1001,P1047,-0.023457122622750383,-0.013888888888888888
P1001,P1049,-0.025751072961373418,-0.01706971854997297
P1001,P1050,-0.036895666420343254,-0.01977969430323089
P1001,P1051,-0.010401816454446367,-0.00978700365857839
P1001,P1054,-0.018092654526466568,-0.00978700365857839
P1001,P1056,-0.01474139181303554,-0.00978700365857839
P1001,P1057,0.11883073903329724,-0.01706971854997297
P1001,P1058,-0.014741391813035482,-0.00978700365857839
P1001,P1060,-0.020936000943655372,-0.00978700365857839
P1001,P1062,-0.027874217998124277,-0.013888888888888888
P1001,P1063,-0.020936000943655372,-0.013888888888888888
P1001,P1066,-0.010401816454446303,-0.00978700365857839
P1001,P1067,-0.029863222374859905,-0.013888888888888888
P1001,P1068,-0.031743514000457086,-0.01977969430323089
P1001,P1069,-0.020936000943655362,-0.00978700365857839
P1001,P1070,-0.02787421799812428,-0.01706971854997297
P1001,P1071,-0.018092654526466526,-0.00978700365857839
P1001,P1073,-0.025751072961373418,-0.013888888888888888
P1001,P1074,-0.014741391813035541,-0.00978700365857839
P1001,P1075,-0.018092654526466485,-0.00978700365857839
P1001,P1076,-0.014741391813035486,-0.013888888888888888
P1001,P1079,-0.018092654526466606,-0.00978700365857839
P1001,P1080,-0.018092654526466537,-0.00978700365857839
P1001,P1081,-0.023457122622750525,-0.013888888888888888
P1001,P1083,-0.010401816454446367,-0.00978700365857839
P1001,P1084,0.14520743919885606,-0.013888888888888888
P1001,P1087,-0.01474139181303552,-0.00978700365857839
P1001,P1089,-0.027874217998124274,-0.013888888888888888
P1001,P1090,-0.020936000943655362,-0.013888888888888888
P1001,P1092,-0.01809265452646652,-0.00978700365857839
P1001,P1093,0.16341795427182784,-0.013888888888888888
P1001,P1094,-0.025751072961373463,-0.01706971854997297
P1001,P1097,-0.010401816454446369,-0.00978700365857839
P1001,P1099,-0.02093600094365539,-0.013888888888888888
P1001,P1100,-0.02093600094365535,-0.00978700365857839
P1001,P1101,-0.03689566642034326,-0.01977969430323089
P1001,P1102,-0.04002860207730504,-0.022192651720471142
P1001,P1103,-0.020936000943655348,-0.01706971854997297
P1001,P1107,-0.02575107296137345,-0.013888888888888888
P1001,P1108,-0.018092654526466516,-0.00978700365857839
P1001,P1110,-0.023457122622750397,-0.013888888888888888
P1001,P1112,-0.010401816454446381,-0.00978700365857839
P1001,P1113,-0.027874217998124284,-0.013888888888888888
P1001,P1114,-0.01809265452646649,-0.00978700365857839
P1001,P1115,-0.02575107296137345,-0.01706971854997297
P1001,P1116,-0.018092654526466516,-0.013888888888888888
P1001,P1118,-0.03353358022460568,-0.01706971854997297
P1001,P1119,-0.027874217998124277,-0.01706971854997297
P1001,P1120,-0.027874217998124284,-0.01706971854997297
P1001,P1122,0.2788579951299216,-0.00978700365857839
P1001,P1124,-0.031743514000457156,-0.01977969430323089
P1001,P1126,-0.02093600094365537,-0.00978700365857839
P1001,P1127,-0.01809265452646649,-0.013888888888888888
P1001,P1128,-0.020936000943655386,-0.013888888888888888
P1001,P1129,,-0.00978700365857839
P1001,P1131,-0.01809265452646653,-0.00978700365857839
P1001,P1132,-0.029863222374859954,-0.013888888888888888
P1001,P1133,-0.025751072961373432,-0.013888888888888888
P1001,P1134,-0.023457122622750532,-0.013888888888888888
P1001,P1136,-0.010401816454446343,-0.00978700365857839
P1001,P1137,0.08557744850274066,-0.022192651720471142
P1001,P1138,-0.027874217998124284,-0.01706971854997297
P1001,P1139,-0.014741391813035472,-0.00978700365857839
P1001,P1140,-0.027874217998124277,-0.013888888888888888
P1001,P1141,-0.010401816454446294,-0.00978700365857839
P1001,P1142,-0.03524735915049254,-0.01706971854997297
P1001,P1144,-0.027874217998124284,-0.013888888888888888
P1001,P1147,-0.018092654526466603,-0.00978700365857839
P1001,P1149,-0.027874217998124277,-0.013888888888888888
P1001,P1150,-0.025751072961373436,-0.01706971854997297
P1001,P1151,,-0.00978700365857839
P1001,P1152,-0.014741391813035552,-0.00978700365857839
P1001,P1154,0.22213759168606084,-0.013888888888888888
P1001,P1155,0.13074335584834493,-0.01706971854997297
P1001,P1156,-0.02575107296137344,-0.013888888888888888
P1001,P1157,-0.018092654526466505,-0.00978700365857839
P1001,P1160,-0.014741391813035463,-0.00978700365857839
P1001,P1162,-0.027874217998124277,-0.022192651720471142
P1001,P1163,-0.04152592211179445,-0.01977969430323089
P1001,P1164,-0.014741391813035529,-0.00978700365857839
P1001,P1165,-0.014741391813035456,-0.00978700365857839
P1001,P1166,-0.025751072961373443,-0.013888888888888888
P1001,P1169,-0.01474139181303552,-0.00978700365857839
P1001,P1172,-0.02093600094365545,-0.00978700365857839
P1001,P1173,-0.0104018164544463,-0.00978700365857839
P1001,P1174,-0.018092654526466554,-0.00978700365857839
P1001,P1175,-0.029863222374859943,-0.013888888888888888
P1001,P1176,0.2336172755647523,-0.01706971854997297
P1001,P1177,-0.025751072961373484,-0.013888888888888888
P1001,P1178,-0.023457122622750452,-0.013888888888888888
P1001,P1179,-0.010401816454446268,-0.013888888888888888
P1001,P1184,-0.020936000943655362,-0.013888888888888888
P1001,P1185,-0.023457122622750414,-0.013888888888888888
P1001,P1186,0.22213759168605998,-0.00978700365857839
P1001,P1187,0.22213759168605987,-0.00978700365857839
P1001,P1189,-0.01809265452646655,-0.00978700365857839
P1001,P1193,-0.018092654526466564,-0.00978700365857839
P1001,P1194,0.28936092969481414,0.3982934328327027
P1001,P1195,-0.02575107296137345,-0.013888888888888888
P1001,P1196,-0.020936000943655365,-0.00978700365857839
P1001,P1197,-0.025751072961373415,-0.013888888888888888
P1001,P1198,0.31616595135908465,0.4930555555555556
P1001,P1199,0.16341795427182787,-0.013888888888888888
P1001,P1200,-0.014741391813035541,-0.00978700365857839
P1001,P1203,-0.02093600094365545,-0.00978700365857839
P1001,P1206,-0.018092654526466502,-0.013888888888888888
P1001,P1208,-0.02575107296137344,-0.013888888888888888
P1001,P1209,-0.02093600094365539,-0.00978700365857839
P1001,P1211,-0.023457122622750484,-0.013888888888888888
P1001,P1213,-0.029863222374859888,-0.013888888888888888
P1001,P1216,-0.02093600094365535,-0.00978700365857839
P1001,P1217,-0.020936000943655362,-0.013888888888888888
P1001,P1221,-0.014741391813035484,-0.00978700365857839
P1001,P1222,0.14520743919885584,-0.013888888888888888
P1001,P1223,0.4039372056476655,-0.00978700365857839
P1001,P1224,,-0.00978700365857839
P1001,P1226,,-0.00978700365857839
P1001,P1229,-0.014741391813035468,-0.00978700365857839
P1001,P1230,-0.027874217998124284,-0.01706971854997297
P1001,P1231,-0.020936000943655362,-0.00978700365857839
P1001,P1232,0.14520743919885595,-0.013888888888888888
P1001,P1233,-0.014741391813035526,-0.00978700365857839
P1001,P1234,-0.02986322237485995,-0.013888888888888888
P1001,P1235,-0.020936000943655424,-0.00978700365857839
P1001,P1237,-0.03524735915049252,-0.01706971854997297
P1001,P1238,-0.025751072961373477,-0.013888888888888888
P1001,P1240,-0.014741391813035475,-0.00978700365857839
