product_id1,product_id2,attribute_prob,behaviour_prob
P1040,P1053,0.9667,0.62
P1044,P1048,0.9655,0.6604
P1040,P1044,0.9655,0.7041
P1041,P1044,0.9655,0.2341
P1044,P1047,0.9655,0.6741
P1041,P1048,0.9655,0.5566
P1041,P1047,0.9655,0.7504
P1047,P1048,0.9655,0.8893
P1040,P1041,0.9655,0.6137
P1040,P1048,0.9655,0.1287
P1040,P1047,0.9655,0.9036
P1140,P1157,0.963,0.5728
P1140,P1156,0.963,0.5068
P1140,P1151,0.963,0.899
P1156,P1157,0.963,0.7893
P1056,P1057,0.963,0.3179
P1229,P1234,0.963,0.9406
P1151,P1156,0.963,0.7951
P1141,P1151,0.963,0.3112
P1151,P1157,0.963,0.9568
P1055,P1057,0.963,0.9391
P1147,P1157,0.963,0.8179
P1046,P1056,0.963,0.849
P1055,P1056,0.963,0.9108
P1140,P1141,0.9615,0.8533
P1049,P1051,0.9615,0.888
P1132,P1135,0.9615,0.0529
P1051,P1054,0.9615,0.888
P1051,P1052,0.9615,0.884
P1144,P1147,0.9615,0.4581
P1020,P1030,0.9615,0.5418
P1130,P1132,0.9615,0.2667
P1130,P1135,0.9615,0.2258
P1235,P1236,0.9615,0.9534
P1042,P1052,0.9615,0.8057
P1020,P1036,0.9615,0.3229
P1020,P1037,0.9615,0.4173
P1230,P1231,0.9615,0.6086
P1049,P1054,0.9615,0.0005
P1036,P1037,0.9615,0.1395
P1030,P1036,0.9615,0.3234
P1049,P1052,0.9615,0.0341
P1052,P1054,0.9615,0.0346
P1141,P1144,0.9615,0.365
P1235,P1238,0.9615,0.9308
P1220,P1231,0.9615,0.0658
P1236,P1238,0.9615,0.3265
P1140,P1144,0.9615,0.769
P1140,P1147,0.9615,0.5736
P1141,P1147,0.9615,0.6559
P1225,P1235,0.9615,0.655
P1030,P1037,0.9615,0.2137
P1220,P1230,0.9615,0.581
P1125,P1135,0.9615,0.5265
P1145,P1148,0.96,0.7666
P1344,P1354,0.96,0.108
P1124,P1125,0.96,0.3292
P1110,P1118,0.96,0.6125
P1111,P1118,0.96,0.1718
P1131,P1133,0.96,0.668
P1155,P1158,0.96,0.5838
P1224,P1225,0.96,0.5524
P1123,P1124,0.96,0.1348
P1121,P1131,0.96,0.8328
P1332,P1337,0.96,0.6483
P1069,P1075,0.96,0.7227
P1069,P1077,0.96,0.8645
P1069,P1079,0.96,0.6359
P1354,P1355,0.96,0.5059
P1123,P1125,0.96,0.2247
P1220,P1228,0.96,0.3462
P1069,P1073,0.96,0.8184
P1073,P1075,0.96,0.3452
P1073,P1077,0.96,0.2539
P1110,P1111,0.96,0.5322
P1232,P1237,0.96,0.3891
P1075,P1077,0.96,0.5115
P1344,P1348,0.9583,0.575
P1303,P1313,0.9583,0.0251
P1301,P1319,0.9583,0.97
P1142,P1143,0.9583,0.5358
P1126,P1136,0.9583,0.8226
P1103,P1104,0.9583,0.5529
P1309,P1319,0.9583,0.0541
P1309,P1313,0.9583,0.1234
P1102,P1104,0.9583,0.2309
P1129,P1134,0.9583,0.6736
P1102,P1103,0.9583,0.4187
P1221,P1223,0.9583,0.5006
P1129,P1138,0.9583,0.0064
P1221,P1226,0.9583,0.6562
P1149,P1152,0.9583,0.2726
P1152,P1153,0.9583,0.5074
P1149,P1153,0.9583,0.6417
P1134,P1138,0.9583,0.6757
P1223,P1226,0.9583,0.8283
P1315,P1316,0.9565,0.7985
P1345,P1346,0.9565,0.258
P1301,P1306,0.9565,0.9495
P1120,P1137,0.9565,0.3579
P1097,P1098,0.9565,0.144
P1029,P1033,0.9565,0.5807
P1301,P1303,0.9565,0.9668
P1305,P1315,0.9565,0.4199
P1122,P1127,0.9565,0.7249
P1303,P1306,0.9565,0.3431
P1329,P1331,0.9545,0.571
P1165,P1175,0.9545,0.2426
P1328,P1338,0.9545,0.4435
P1329,P1336,0.9545,0.4958
P1329,P1338,0.9545,0.209
P1112,P1113,0.9545,0.7603
P1215,P1216,0.9545,0.0098
P1113,P1114,0.9545,0.8472
P1032,P1034,0.9545,0.295
P1214,P1216,0.9545,0.4737
P1331,P1336,0.9545,0.1492
P1214,P1215,0.9545,0.4685
P1336,P1338,0.9545,0.6012
P1113,P1117,0.9545,0.614
P1031,P1035,0.9545,0.4494
P1025,P1035,0.9545,0.3152
P1175,P1176,0.9545,0.4225
P1112,P1114,0.9545,0.3626
P1112,P1117,0.9545,0.379
P1174,P1175,0.9545,0.169
P1174,P1176,0.9545,0.5201
P1331,P1338,0.9545,0.6607
P1204,P1208,0.9545,0.5211
P1114,P1117,0.9545,0.6041
P1347,P1357,0.9545,0.6097
P1289,P1291,0.9545,0.0184
P1289,P1294,0.9545,0.6953
P1289,P1297,0.9545,0.6464
P1060,P1078,0.9545,0.9495
